unit_code,unit_name,storm_id,pcpout_mm_v1_2,rain_geotiff_mm_v1_6,diff_mm,rel_diff_pct
AG06,Saint Paul,sample_0010,0.0,1.5,1.5,
AG06,Saint Paul,sample_0011,0.0,0.57,0.57,
AG06,Saint Paul,sample_0012,15.36,18.42,3.06,19.94
AG06,Saint Paul,sample_0013,1.27,6.02,4.75,374.9
AG06,Saint Paul,sample_0014,13.01,16.36,3.34,25.66
AG06,Saint Paul,sample_0015,11.16,17.18,6.02,53.96
AG06,Saint Paul,sample_0016,5.73,7.7,1.97,34.39
AG06,Saint Paul,sample_0017,4.66,7.06,2.39,51.36
AG06,Saint Paul,sample_0018,52.34,58.75,6.41,12.26
AG06,Saint Paul,sample_0019,15.71,19.61,3.9,24.83
AG06,Saint Paul,sample_0020,26.25,27.7,1.46,5.56
AG06,Saint Paul,sample_0021,0.98,2.6,1.61,163.8
AG06,Saint Paul,sample_0022,0.0,0.71,0.71,
AG06,Saint Paul,sample_0023,0.0,2.13,2.13,
AG06,Saint Paul,sample_0024,2.58,5.1,2.52,97.55
AG06,Saint Paul,sample_0025,20.22,23.5,3.27,16.18
AG06,Saint Paul,sample_0026,45.89,48.48,2.59,5.65
AG06,Saint Paul,sample_0027,43.39,48.93,5.54,12.76
AG06,Saint Paul,sample_0028,35.04,44.34,9.3,26.56
AG06,Saint Paul,sample_0029,24.63,28.08,3.45,14.0
AG06,Saint Paul,sample_0030,19.2,21.28,2.08,10.82
AG06,Saint Paul,sample_0031,12.93,15.71,2.79,21.55
AG06,Saint Paul,sample_0032,0.0,1.15,1.15,
AG06,Saint Paul,sample_0033,0.0,1.5,1.5,
AG06,Saint Paul,sample_0034,3.59,6.86,3.27,91.08
AG06,Saint Paul,sample_0035,120.77,124.3,3.53,2.92
AG06,Saint Paul,sample_0036,110.37,115.02,4.65,4.21
AG06,Saint Paul,sample_0037,1.13,1.72,0.59,52.71
AG06,Saint Paul,sample_0038,82.93,86.36,3.43,4.14
AG06,Saint Paul,sample_0039,95.64,104.86,9.22,9.64
AG06,Saint Paul,sample_0040,154.38,156.59,2.21,1.43
AG06,Saint Paul,sample_0041,0.0,0.9,0.9,
AG06,Saint Paul,sample_0042,114.45,114.31,-0.14,-0.12
AG06,Saint Paul,sample_0043,56.05,59.56,3.51,6.27
AG06,Saint Paul,sample_0044,123.92,127.9,3.98,3.21
AG06,Saint Paul,sample_0045,60.72,64.62,3.9,6.42
AG06,Saint Paul,sample_0046,0.0,0.31,0.31,
AG06,Saint Paul,sample_0047,115.54,120.85,5.31,4.59
AG06,Saint Paul,sample_0048,140.51,143.25,2.75,1.95
AG06,Saint Paul,sample_0049,108.59,114.59,6.0,5.53
AG06,Saint Paul,sample_0050,82.42,89.33,6.91,8.39
AG06,Saint Paul,sample_0051,114.16,118.4,4.24,3.71
AG06,Saint Paul,sample_0052,112.62,127.26,14.64,13.0
AG06,Saint Paul,sample_0053,120.54,129.05,8.51,7.06
AG06,Saint Paul,sample_0054,115.4,119.69,4.28,3.71
AG06,Saint Paul,sample_0055,148.83,151.0,2.17,1.46
AG06,Saint Paul,sample_0056,120.49,126.57,6.08,5.04
AG06,Saint Paul,sample_0057,160.17,166.46,6.28,3.92
AG06,Saint Paul,sample_0058,54.62,58.85,4.23,7.74
AG06,Saint Paul,sample_0059,102.06,111.31,9.24,9.06
AG06,Saint Paul,sample_0060,121.11,132.6,11.49,9.49
AG06,Saint Paul,sample_0061,74.47,76.28,1.81,2.43
AG06,Saint Paul,sample_0062,95.96,104.28,8.32,8.67
AG06,Saint Paul,sample_0063,123.12,126.89,3.77,3.06
AG06,Saint Paul,sample_0064,4.18,5.63,1.45,34.62
AG06,Saint Paul,sample_0065,209.43,214.06,4.63,2.21
AG06,Saint Paul,sample_0066,139.53,144.9,5.37,3.85
AG06,Saint Paul,sample_0067,138.44,140.07,1.63,1.18
AG06,Saint Paul,sample_0068,137.24,143.89,6.65,4.85
AG06,Saint Paul,sample_0069,205.46,209.17,3.71,1.81
AG06,Saint Paul,sample_0070,210.26,214.59,4.33,2.06
AG06,Saint Paul,sample_0071,134.16,138.07,3.91,2.92
AG06,Saint Paul,sample_0072,0.21,1.75,1.54,736.22
AG06,Saint Paul,sample_0073,157.29,170.11,12.82,8.15
AG06,Saint Paul,sample_0074,242.81,249.0,6.19,2.55
AG06,Saint Paul,sample_0075,210.76,217.88,7.12,3.38
AG06,Saint Paul,sample_0076,225.15,235.16,10.01,4.45
AG06,Saint Paul,sample_0077,203.72,207.12,3.4,1.67
AG06,Saint Paul,sample_0078,178.33,179.75,1.42,0.8
AG06,Saint Paul,sample_0079,241.79,243.07,1.28,0.53
AG06,Saint Paul,sample_0080,252.55,253.18,0.63,0.25
AG06,Saint Paul,sample_0081,210.36,211.62,1.26,0.6
AG06,Saint Paul,sample_0082,112.05,120.18,8.13,7.26
AG06,Saint Paul,sample_0083,179.4,187.13,7.73,4.31
AG06,Saint Paul,sample_0084,218.77,220.62,1.85,0.84
AG06,Saint Paul,sample_0085,246.09,254.03,7.95,3.23
AG06,Saint Paul,sample_0086,157.95,171.37,13.41,8.49
AG06,Saint Paul,sample_0087,233.29,235.64,2.35,1.01
AG06,Saint Paul,sample_0088,187.04,197.82,10.78,5.77
AG06,Saint Paul,sample_0089,205.02,215.25,10.23,4.99
AG06,Saint Paul,sample_0090,268.45,271.27,2.82,1.05
AG06,Saint Paul,sample_0091,196.57,203.61,7.03,3.58
AG06,Saint Paul,sample_0092,229.77,239.66,9.89,4.31
AG06,Saint Paul,sample_0093,275.37,280.22,4.86,1.76
AG06,Saint Paul,sample_0094,140.72,143.43,2.71,1.93
AG06,Saint Paul,sample_0095,203.48,209.26,5.79,2.84
AG06,Saint Paul,sample_0096,180.48,183.71,3.24,1.79
AG06,Saint Paul,sample_0097,238.77,242.17,3.4,1.42
AG06,Saint Paul,sample_0098,239.1,240.44,1.34,0.56
AG06,Saint Paul,sample_0099,234.84,239.96,5.12,2.18
AG06,Saint Paul,sample_0100,240.74,245.27,4.52,1.88
AG06,Saint Paul,sample_0101,201.6,212.14,10.54,5.23
AG06,Saint Paul,sample_0102,267.52,272.67,5.15,1.93
AG06,Saint Paul,sample_0103,259.43,276.62,17.19,6.63
AG06,Saint Paul,sample_0104,268.15,269.82,1.67,0.62
AG06,Saint Paul,sample_0105,1.39,2.94,1.55,111.57
AG06,Saint Paul,sample_0106,207.37,211.76,4.39,2.12
AG06,Saint Paul,sample_0107,281.18,286.71,5.54,1.97
AG06,Saint Paul,sample_0108,102.4,109.26,6.86,6.7
AG06,Saint Paul,sample_0109,195.12,211.03,15.91,8.15
AG06,Saint Paul,sample_0110,192.23,201.09,8.86,4.61
AG06,Saint Paul,sample_0111,259.12,263.71,4.59,1.77
AG06,Saint Paul,sample_0112,295.91,304.71,8.8,2.97
AG06,Saint Paul,sample_0113,261.08,263.24,2.16,0.83
AG06,Saint Paul,sample_0114,279.93,285.88,5.94,2.12
AG06,Saint Paul,sample_0115,298.2,306.0,7.8,2.61
AG06,Saint Paul,sample_0116,230.54,235.8,5.27,2.28
AG06,Saint Paul,sample_0117,322.06,328.71,6.65,2.07
AG06,Saint Paul,sample_0118,285.04,290.76,5.71,2.0
AG06,Saint Paul,sample_0119,305.18,311.4,6.22,2.04
AG06,Saint Paul,sample_0120,340.95,352.46,11.51,3.38
AG06,Saint Paul,sample_0121,291.04,295.9,4.86,1.67
AG06,Saint Paul,sample_0122,435.81,443.81,8.0,1.84
AG06,Saint Paul,sample_0123,359.64,363.49,3.84,1.07
AG06,Saint Paul,sample_0124,418.76,421.95,3.2,0.76
AG06,Saint Paul,sample_0125,159.5,170.95,11.45,7.18
AG06,Saint Paul,sample_0126,325.5,338.34,12.84,3.95
AG06,Saint Paul,sample_0127,293.72,299.93,6.21,2.11
AG06,Saint Paul,sample_0128,317.98,325.74,7.75,2.44
AG06,Saint Paul,sample_0129,421.8,428.52,6.72,1.59
AG06,Saint Paul,sample_0130,303.07,309.86,6.79,2.24
AG06,Saint Paul,sample_0131,361.35,364.08,2.73,0.76
AG06,Saint Paul,sample_0132,330.47,332.33,1.87,0.56
AG06,Saint Paul,sample_0133,415.48,419.32,3.83,0.92
AG06,Saint Paul,sample_0134,349.5,351.84,2.33,0.67
AG06,Saint Paul,sample_0135,300.93,309.59,8.66,2.88
AG06,Saint Paul,sample_0136,248.15,257.8,9.64,3.89
AG06,Saint Paul,sample_0137,295.64,299.49,3.85,1.3
AG06,Saint Paul,sample_0138,340.32,347.5,7.18,2.11
AG06,Saint Paul,sample_0139,353.79,357.29,3.5,0.99
AG06,Saint Paul,sample_0140,373.97,377.42,3.45,0.92
AG06,Saint Paul,sample_0141,351.11,356.79,5.68,1.62
AG06,Saint Paul,sample_0142,356.63,363.87,7.24,2.03
AG06,Saint Paul,sample_0143,345.61,349.61,4.0,1.16
AG06,Saint Paul,sample_0144,369.23,375.07,5.84,1.58
AG06,Saint Paul,sample_0145,288.58,292.64,4.06,1.41
AG06,Saint Paul,sample_0146,449.31,454.11,4.8,1.07
AG06,Saint Paul,sample_0147,404.17,406.17,2.0,0.49
AG06,Saint Paul,sample_0148,430.09,431.84,1.74,0.41
AG06,Saint Paul,sample_0149,283.5,287.39,3.89,1.37
AG06,Saint Paul,sample_0150,369.38,373.54,4.15,1.12
AG06,Saint Paul,sample_0151,316.38,322.68,6.3,1.99
AG06,Saint Paul,sample_0152,310.85,318.4,7.55,2.43
AG06,Saint Paul,sample_0153,366.66,368.42,1.76,0.48
AG06,Saint Paul,sample_0154,354.26,360.42,6.16,1.74
AG06,Saint Paul,sample_0155,580.99,582.54,1.55,0.27
AG06,Saint Paul,sample_0156,386.91,391.55,4.63,1.2
AG06,Saint Paul,sample_0157,336.4,342.55,6.15,1.83
AG06,Saint Paul,sample_0158,491.73,493.65,1.93,0.39
AG06,Saint Paul,sample_0159,413.77,417.01,3.25,0.78
AG06,Saint Paul,sample_0160,580.43,586.17,5.74,0.99
AG06,Saint Paul,sample_0161,415.97,421.38,5.41,1.3
AG06,Saint Paul,sample_0162,429.34,435.7,6.36,1.48
AG06,Saint Paul,sample_0163,400.04,405.04,5.0,1.25
AG06,Saint Paul,sample_0164,542.12,546.05,3.93,0.72
AG06,Saint Paul,sample_0165,552.14,550.32,-1.82,-0.33
AG06,Saint Paul,sample_0166,504.48,508.35,3.87,0.77
AG06,Saint Paul,sample_0167,465.09,465.6,0.52,0.11
AG06,Saint Paul,sample_0168,600.78,603.01,2.23,0.37
AG06,Saint Paul,sample_0169,360.85,368.8,7.95,2.2
AG06,Saint Paul,sample_0170,556.07,551.5,-4.57,-0.82
AG06,Saint Paul,sample_0171,333.33,338.11,4.78,1.43
AG06,Saint Paul,sample_0172,374.98,381.58,6.6,1.76
AG06,Saint Paul,sample_0173,531.25,534.51,3.26,0.61
