ADM1_PCODE,ADM1_EN,population,pop_year,pop_source
AG01,Barbuda,2233,2025,Statistics Division estimate 2025 (Wikipedia Demographics of Barbuda; 2011 census 1634)
AG02,Redonda,0,2011,Uninhabited
AG03,Saint George,8817,2018,Statistics Division 2018 estimate (Wikipedia parish article)
AG04,Saint John's,56736,2018,Statistics Division 2018 estimate (Wikipedia parish article)
AG05,Saint Mary,8141,2018,Statistics Division 2018 estimate (Wikipedia parish article)
AG06,Saint Paul,9004,2018,Statistics Division 2018 estimate (Wikipedia parish article; 2011 census 8116)
AG07,Saint Peter,5706,2018,Statistics Division 2018 estimate (Wikipedia parish article; 2011 census 5317)
AG08,Saint Philip,3689,2018,Statistics Division 2018 estimate (Wikipedia parish article; 2011 census 3322)
